layer_type,vla_w_kurtosis_mean,vla_w_kurtosis_std,gemma_w_kurtosis_mean,gemma_w_kurtosis_std,vla_w_cv_mean,vla_w_cv_std,gemma_w_cv_mean,gemma_w_cv_std,vla_a_kurtosis_mean,gemma_a_kurtosis_mean,vla_a_cv_mean,gemma_a_cv_mean
q_proj,0.93,0.78,3.26,2.76,0.2645,0.0803,0.4322,0.1155,121.58,212.63,0.1277,0.1190
o_proj,9.56,13.63,4.45,4.04,0.2918,0.0357,0.2973,0.0371,5.06,11.50,0.4136,0.2321
v_proj,0.41,0.50,0.59,0.60,0.1302,0.0713,0.1374,0.0750,121.58,212.63,0.1277,0.1190
k_proj,1.15,0.62,2.79,1.65,0.3162,0.0835,0.4455,0.1301,121.58,212.63,0.1277,0.1190
gate_proj,0.20,0.17,0.78,0.47,0.1728,0.0233,0.2501,0.0431,61.16,417.13,0.3339,0.3981
up_proj,0.42,0.91,0.58,0.35,0.1597,0.0396,0.1983,0.0295,61.16,417.13,0.3339,0.3981
down_proj,0.91,0.95,1.08,0.97,0.3011,0.0537,0.3092,0.0652,2389.94,848.27,1.0387,0.9150
